met,L,k,x0,c
glc,26.97544105,-0.130713264,16.41893315,0.524558953
eto,6.76877131,0.209046887,23.54739365,0
ac,12.76353174,0.213383589,15.11415323,0
alaL,13.99017224,0.244493375,13.2324528,0
lacS,3.988903999,0.107551824,26.78307973,0
but,6.175361226,0.173559393,24.37586889,0
buta,3.209597039,0.111459639,26.97741595,0
proL,3.003442834,-0.457336268,11.21670079,2.216557166
5apn,2.983030924,0.641215167,11.87536259,0
leuL,7.199496959,-0.591258453,8.088806478,0.430503041
ival,2.305126852,0.731384159,4.655603072,0
isocap,5.164359732,0.926453501,9.856427221,0